title,company,experience,salary,location,skills,posted,job_url,scraped_at,search_text,extracted_skills,city,salary_min_lpa,salary_max_lpa,salary_mid_lpa,exp_min_yrs,exp_max_yrs,exp_mid_yrs,company_type
Westfield Data Analyst,EXL,3-6 Yrs,Not disclosed,Gurugram,"insurance, snowflake, data analysis, c, business data, data lineage, reinsurance, data analyst",3+ weeks ago,https://www.naukri.com/job-listings-westfield-data-analyst-exl-services-com-i-pvt-ltd-gurugram-3-to-6-years-210126501272,2026-04-10 13:04,"insurance, snowflake, data analysis, c, business data, data lineage, reinsurance, data analyst  Westfield Data Analyst","data analysis, snowflake",Gurugram,,,,3.0,6.0,4.5,Other
Data Analyst,Rpa Infotech,1-3 Yrs,Not disclosed,Gurugram,"Data analysis, MS SQL, Excel, Bfsi, Business analytics, Postgresql, MySQL, Predictive modeling",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-rpa-infotech-pvt-ltd-gurugram-1-to-3-years-291020500641,2026-04-10 13:04,"Data analysis, MS SQL, Excel, Bfsi, Business analytics, Postgresql, MySQL, Predictive modeling  Data Analyst","data analysis, excel, mysql, postgresql, sql",Gurugram,,,,1.0,3.0,2.0,Other
GSS Data Analyst,Schlumberger India Technology Centre Pvt. Ltd,5-10 Yrs,Not disclosed,Pune,"Service delivery, PSD, Safety training, Data Analyst, HSE, Sensors, Risk analysis, Monitoring",3+ weeks ago,https://www.naukri.com/job-listings-gss-data-analyst-schlumberger-india-technology-centre-pvt-ltd-pune-5-to-10-years-250226501120,2026-04-10 13:04,"Service delivery, PSD, Safety training, Data Analyst, HSE, Sensors, Risk analysis, Monitoring  GSS Data Analyst",,Pune,,,,5.0,10.0,7.5,Other
Data Analyst,Capgemini,2-5 Yrs,Not disclosed,Hyderabad,"data analyst, python, data pipelines, ai, databricks, pyspark, emr, elt",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-hyderabad-2-to-5-years-200326921794,2026-04-10 13:04,"data analyst, python, data pipelines, ai, databricks, pyspark, emr, elt  Data Analyst","databricks, python",Hyderabad,,,,2.0,5.0,3.5,IT Services
Data Analyst,FedEx,2-7 Yrs,Not disclosed,Mumbai,"Analytical skills, Data analysis, Manager Quality Assurance, fedex, Data modeling, MIS, Genetics, Business solutions",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-fedex-express-mumbai-2-to-7-years-200126508513,2026-04-10 13:04,"Analytical skills, Data analysis, Manager Quality Assurance, fedex, Data modeling, MIS, Genetics, Business solutions  Data Analyst","data analysis, data modeling",Mumbai,,,,2.0,7.0,4.5,Other
Data Analyst,Hitachi Digital Services,2-5 Yrs,Not disclosed,Hyderabad,"communication skillsbusiness requirements, data analysis, analytical, time management, statistics, sql, Requirements, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-hitachi-digital-services-hyderabad-2-to-5-years-190525504787,2026-04-10 13:04,"communication skillsbusiness requirements, data analysis, analytical, time management, statistics, sql, Requirements, Analytics  Data Analyst","communication, data analysis, sql, statistics",Hyderabad,,,,2.0,5.0,3.5,Other
Data Analyst,Capco,8-12 Yrs,Not disclosed,Pune,"Data analysis, metadata, Data modeling, Agile, Data Analyst, Gap analysis, Technical support, SDLC",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-capco-technologies-pvt-ltd-pune-8-to-12-years-190226503174,2026-04-10 13:04,"Data analysis, metadata, Data modeling, Agile, Data Analyst, Gap analysis, Technical support, SDLC  Data Analyst","data analysis, data modeling",Pune,,,,8.0,12.0,10.0,Other
Data Analysts,Icare Academy Hyderabad,1-4 Yrs,Not disclosed,Hyderabad,"analytics reporting, Automation, Data validation, C, Sales, Business analytics, Management, CSAT",3+ weeks ago,https://www.naukri.com/job-listings-data-analysts-icare-academy-hyderabad-1-to-4-years-170225505457,2026-04-10 13:04,"analytics reporting, Automation, Data validation, C, Sales, Business analytics, Management, CSAT  Data Analysts","data analysis, reporting",Hyderabad,,,,1.0,4.0,2.5,Other
Data Analyst,Impelsys,3-5 Yrs,Not disclosed,Hybrid - Bengaluru,"Data Analyst, Power Bi, Cloud, SQL, Python, Data, Data analysis, Bi",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-impelsys-bengaluru-3-to-5-years-160326017668,2026-04-10 13:04,"Data Analyst, Power Bi, Cloud, SQL, Python, Data, Data analysis, Bi  Data Analyst","data analysis, power bi, python, sql",Bengaluru,,,,3.0,5.0,4.0,Other
DATA ANALYST,Scaleup Mission IT services,3-4 Yrs,Not disclosed,Bengaluru,"Operations management, Operations Analyst, Data Analyst, HR, Business strategy, Data, Management, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-scaleup-mission-it-services-bengaluru-3-to-4-years-140524501016,2026-04-10 13:04,"Operations management, Operations Analyst, Data Analyst, HR, Business strategy, Data, Management, Data analysis  DATA ANALYST",data analysis,Bengaluru,,,,3.0,4.0,3.5,Other
Data Analyst,Godrej koerber Supply Chain Ltd,3-5 Yrs,Not disclosed,Mumbai,"Computer science, Process optimization, Excel, Analytical, Data collection, Data quality, Information technology, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-godrej-koerber-supply-chain-ltd-mumbai-3-to-5-years-120724502137,2026-04-10 13:04,"Computer science, Process optimization, Excel, Analytical, Data collection, Data quality, Information technology, SQL  Data Analyst","data analysis, data quality, excel, sql",Mumbai,,,,3.0,5.0,4.0,Other
Data Analyst,Grid Dynamics,2-7 Yrs,Not disclosed,Bengaluru,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-grid-dynamics-bengaluru-2-to-7-years-120226500313,2026-04-10 13:04,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance  Data Analyst","gcp, git, mysql",Bengaluru,,,,2.0,7.0,4.5,Other
Data Analyst,Hitachi Energy,3-8 Yrs,Not disclosed,Chennai,"ERP, Automation, Data modeling, Analytical, microsoft, Business intelligence, Continuous improvement, Forecasting",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-hitachi-energy-chennai-3-to-8-years-090326500792,2026-04-10 13:04,"ERP, Automation, Data modeling, Analytical, microsoft, Business intelligence, Continuous improvement, Forecasting  Data Analyst","data analysis, data modeling, power bi",Chennai,,,,3.0,8.0,5.5,Other
Data Analyst,Times Internet,3-5 Yrs,Not disclosed,Noida,"Computer science, data cleansing, Data analysis, Data modeling, Analytical, Data collection, Business intelligence, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-times-internet-ltd-noida-3-to-5-years-090226503265,2026-04-10 13:04,"Computer science, data cleansing, Data analysis, Data modeling, Analytical, Data collection, Business intelligence, SQL  Data Analyst","data analysis, data modeling, power bi, sql",Noida,,,,3.0,5.0,4.0,Other
Data Analyst I,Fluor,20-25 Yrs,Not disclosed,Gurugram,"3D, Administration, Staffing, Data Analyst, Management, Cost, Data, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-i-fluor-gurugram-20-to-25-years-081025502970,2026-04-10 13:04,"3D, Administration, Staffing, Data Analyst, Management, Cost, Data, Data analysis  Data Analyst I",data analysis,Gurugram,,,,20.0,25.0,22.5,Other
Data Analyst,Pioneer Infotech,2-7 Yrs,Not disclosed,Mumbai,"Computer science, Data analysis, PDF, data science, Analytical, power bi, Data quality, data visualization",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-pioneer-infotech-p-ltd-mumbai-2-to-7-years-070125500600,2026-04-10 13:04,"Computer science, Data analysis, PDF, data science, Analytical, power bi, Data quality, data visualization  Data Analyst","data analysis, data quality, data visualization, power bi",Mumbai,,,,2.0,7.0,4.5,Other
Data Analyst,Adhiran Infotech,1-3 Yrs,Not disclosed,Chennai,"Data Analyst, Data, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-adhiran-infotech-chennai-1-to-3-years-060225502553,2026-04-10 13:04,"Data Analyst, Data, Data analysis  Data Analyst",data analysis,Chennai,,,,1.0,3.0,2.0,Other
Data Analyst,Rapsys Tech Solutions,3-8 Yrs,Not disclosed,Bengaluru,"Unix, Usage, GIT, GCP, Datastage, Control-M, Data Analyst, Data warehousing",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-rapsys-tech-solutions-pvt-ltd-bengaluru-3-to-8-years-020126501194,2026-04-10 13:04,"Unix, Usage, GIT, GCP, Datastage, Control-M, Data Analyst, Data warehousing  Data Analyst","gcp, git",Bengaluru,,,,3.0,8.0,5.5,Other
Data Analyst,Smiths Detection,2-7 Yrs,Not disclosed,Bengaluru,"ERP, SAP, Aviation, Analytical, Billing, DNS, HTML, Recruitment",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-smiths-detection-bengaluru-2-to-7-years-120925504247,2026-04-10 13:04,"ERP, SAP, Aviation, Analytical, Billing, DNS, HTML, Recruitment  Data Analyst",data analysis,Bengaluru,,,,2.0,7.0,4.5,Other
Data Analyst,EXL,3-8 Yrs,14-20 Lacs PA (Including Variable: 8.0%),Hybrid - Gurugram,"credit bureau datasets, Credit risk analytics, International Banking, SQL, Python, Us Banking, Fraud trend analysis, transactional data",1 week ago,https://www.naukri.com/job-listings-data-analyst-kriyah-consulting-gurugram-3-to-8-years-300326006943,2026-04-10 13:04,"credit bureau datasets, Credit risk analytics, International Banking, SQL, Python, Us Banking, Fraud trend analysis, transactional data  Data Analyst","data analysis, python, sql",Gurugram,14.0,20.0,17.0,3.0,8.0,5.5,Other
Data Analyst,A big name in Fashion Industry,3-5 Yrs,3.5-4.5 Lacs PA,"Noida, New Delhi","Power Bi, Advanced Excel, SQL, Pivot Table, VLOOKUP, Tableau, HLOOKUP, Python",1 week ago,https://www.naukri.com/job-listings-data-analyst-sarvysampanna-system-solutions-noida-new-delhi-3-to-5-years-300326001353,2026-04-10 13:04,"Power Bi, Advanced Excel, SQL, Pivot Table, VLOOKUP, Tableau, HLOOKUP, Python  Data Analyst","excel, power bi, python, sql, tableau",Noida,3.5,4.5,4.0,3.0,5.0,4.0,Other
Data Analyst,Leading Client,5-10 Yrs,Not disclosed,Remote,"Snowflake, data quality, advanced sql, data analysis, databricks, business analyst, etl, data engineering",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-s-p-a-enterprise-info-services-india-pvt-ltd-hyderabad-5-to-10-years-120326927480,2026-04-10 13:05,"Snowflake, data quality, advanced sql, data analysis, databricks, business analyst, etl, data engineering  Data Analyst","data analysis, data quality, databricks, etl, snowflake, sql",Remote,,,,5.0,10.0,7.5,Other
Data Analyst,S&P Global Market Intelligence,2-5 Yrs,Not disclosed,"Hyderabad, Ahmedabad, Gurugram","data analyst, sigma, python, six sigma, accounting, collection, analytical skills, data collection",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-s-p-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-gurugram-2-to-5-years-180326909739,2026-04-10 13:05,"data analyst, sigma, python, six sigma, accounting, collection, analytical skills, data collection  Data Analyst","data analysis, python",Hyderabad,,,,2.0,5.0,3.5,Other
Data Analyst,CGI,8-13 Yrs,Not disclosed,Hybrid - Hyderabad,"Data analyst, Databricks, Power Bi, Snowflake, Tableau, Data analysis, Data Bricks, Bi",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-8-to-13-years-230326016313,2026-04-10 13:05,"Data analyst, Databricks, Power Bi, Snowflake, Tableau, Data analysis, Data Bricks, Bi  Data Analyst","data analysis, databricks, power bi, snowflake, tableau",Hyderabad,,,,8.0,13.0,10.5,Other
Data Analyst,CGI,2-5 Yrs,Not disclosed,Hybrid - Mumbai,"Data Lineage, Data Management, Data Domain, data analyst, Data Reporting, SQL, DNS, Management",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-cgi-mumbai-2-to-5-years-250326038295,2026-04-10 13:05,"Data Lineage, Data Management, Data Domain, data analyst, Data Reporting, SQL, DNS, Management  Data Analyst","reporting, sql",Mumbai,,,,2.0,5.0,3.5,Other
Data Analyst,Crompton Greaves Consumer Electricals,2-3 Yrs,Not disclosed,"Navi Mumbai, Mumbai (All Areas)","Power Bi, Data Analysis, Advanced Excel, Tableau, Dashboards, SAP, QlikView, Analysis",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-crompton-greaves-consumer-electricals-navi-mumbai-mumbai-all-areas-2-to-3-years-200326025166,2026-04-10 13:05,"Power Bi, Data Analysis, Advanced Excel, Tableau, Dashboards, SAP, QlikView, Analysis  Data Analyst","data analysis, excel, power bi, qlikview, tableau",Navi Mumbai,,,,2.0,3.0,2.5,Other
Data Analyst,S&P Global Market Intelligence,1-6 Yrs,Not disclosed,Hyderabad,"data analysis, data quality, regulatory filings, data extraction, workforce planning, asset management, capital markets, data collection",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-s-p-capital-iq-india-pvt-ltd-hyderabad-1-to-6-years-180326909781,2026-04-10 13:05,"data analysis, data quality, regulatory filings, data extraction, workforce planning, asset management, capital markets, data collection  Data Analyst","data analysis, data quality",Hyderabad,,,,1.0,6.0,3.5,Other
Data Analyst Outsourcing Services,Mazars,2-3 Yrs,Not disclosed,Jaipur,"Administration, Automation, Data validation, Manager Quality Assurance, Excel, data security, Standard operating procedures, Outsourcing",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-outsourcing-services-mazars-advisory-pvt-ltd-jaipur-2-to-3-years-160326503608,2026-04-10 13:05,"Administration, Automation, Data validation, Manager Quality Assurance, Excel, data security, Standard operating procedures, Outsourcing  Data Analyst Outsourcing Services",excel,Jaipur,,,,2.0,3.0,2.5,Other
Data Analyst,Hav2 Apparels,1-3 Yrs,2-3 Lacs PA,Bengaluru,"Data Analytics, Power Bi, Data Visualization, Tableau, Data Warehousing, SQL, Data, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-hav2-apparels-bengaluru-1-to-3-years-120326029136,2026-04-10 13:05,"Data Analytics, Power Bi, Data Visualization, Tableau, Data Warehousing, SQL, Data, Data analysis  Data Analyst","data analysis, data visualization, power bi, sql, tableau",Bengaluru,2.0,3.0,2.5,1.0,3.0,2.0,Other
Data Analyst,Virtusa,5-7 Yrs,Not disclosed,Hyderabad,"Data Analyst, python, talend, power bi, machine learning, sql, database design, salesforce",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-5-to-7-years-100326924540,2026-04-10 13:05,"Data Analyst, python, talend, power bi, machine learning, sql, database design, salesforce  Data Analyst","machine learning, power bi, python, sql",Hyderabad,,,,5.0,7.0,6.0,Other
Data Analyst,Virtusa,5-7 Yrs,Not disclosed,Hyderabad,"data analyst, microsoft office, data analysis, automation, compliance, it systems, advanced excel, process improvement",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-5-to-7-years-100326924035,2026-04-10 13:05,"data analyst, microsoft office, data analysis, automation, compliance, it systems, advanced excel, process improvement  Data Analyst","data analysis, excel",Hyderabad,,,,5.0,7.0,6.0,Other
Data Analyst,AU Small Finance Bank,2-10 Yrs,Not disclosed,Jaipur,"retail banking, trade finance, operational support, project management, data analysis, web services, issue resolution, business analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-au-financiers-india-limited-jaipur-2-to-10-years-090326504635,2026-04-10 13:05,"retail banking, trade finance, operational support, project management, data analysis, web services, issue resolution, business analysis  Data Analyst",data analysis,Jaipur,,,,2.0,10.0,6.0,Other
Data Analyst,FE Fundinfo,1-5 Yrs,Not disclosed,Chennai,"Analytical skills, Data management, Agile, Deployment, Data Analyst, Management, SLAS, Financial services",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-fundinfo-ag-chennai-1-to-5-years-260226505699,2026-04-10 13:05,"Analytical skills, Data management, Agile, Deployment, Data Analyst, Management, SLAS, Financial services  Data Analyst",data analysis,Chennai,,,,1.0,5.0,3.0,Other
Data Analyst,Reliance Games,2-5 Yrs,Not disclosed,Pune,"Communication Skills, R, Social Media, Analytical Skills, Data Analysis, Data Visualization, Data Analyst, Tableau",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-reliance-games-pune-2-to-5-years-130921500438,2026-04-10 13:05,"Communication Skills, R, Social Media, Analytical Skills, Data Analysis, Data Visualization, Data Analyst, Tableau  Data Analyst","communication, data analysis, data visualization, r, tableau",Pune,,,,2.0,5.0,3.5,Other
Private credit data analyst profile,Crisil,2-4 Yrs,Not disclosed,Mumbai,"Data analysis, Data management, Risk assessment, Reconciliation, Data processing, Data quality, Business intelligence, Portfolio management",3+ weeks ago,https://www.naukri.com/job-listings-private-credit-data-analyst-profile-crisil-mumbai-2-to-4-years-110326506190,2026-04-10 13:05,"Data analysis, Data management, Risk assessment, Reconciliation, Data processing, Data quality, Business intelligence, Portfolio management  Private credit data analyst profile","data analysis, data quality, power bi",Mumbai,,,,2.0,4.0,3.0,Other
Consulting - Data analyst - CA/ SCA,Crisil,1-3 Yrs,Not disclosed,Pune,"Data analysis, Excel, VBA, Consulting, power bi, Data Analyst, Secondary research, Ca",3+ weeks ago,https://www.naukri.com/job-listings-consulting-data-analyst-ca-sca-crisil-pune-1-to-3-years-090126500545,2026-04-10 13:05,"Data analysis, Excel, VBA, Consulting, power bi, Data Analyst, Secondary research, Ca  Consulting - Data analyst - CA/ SCA","data analysis, excel, power bi",Pune,,,,1.0,3.0,2.0,Other
Data Analyst,Leading Client,5-10 Yrs,Not disclosed,Bengaluru,"Data Aanalyst, Business Intelligence, Power Bi, Data Visualization, Dashboards, Data Analytics, SQL, Analytics",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-assertive-business-solutions-bengaluru-5-to-10-years-130326928762,2026-04-10 13:05,"Data Aanalyst, Business Intelligence, Power Bi, Data Visualization, Dashboards, Data Analytics, SQL, Analytics  Data Analyst","data analysis, data visualization, power bi, sql",Bengaluru,,,,5.0,10.0,7.5,Other
Econometric Data Analyst,Micro1,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","python, r, economics, data analysis, econometrics, automation, c, data science",2 weeks ago,https://www.naukri.com/job-listings-econometric-data-analyst-micro1-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-7-years-250326504134,2026-04-10 13:05,"python, r, economics, data analysis, econometrics, automation, c, data science  Econometric Data Analyst","data analysis, python, r",Kolkata,,,,2.0,7.0,4.5,Other
Data Analyst,Propharma Group,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Manager Quality Assurance, Business analytics, Consulting, Clinical research, Customer service, Pharmacovigilance, Troubleshooting, microsoft",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-isafety-systems-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-240326507968,2026-04-10 13:05,"Manager Quality Assurance, Business analytics, Consulting, Clinical research, Customer service, Pharmacovigilance, Troubleshooting, microsoft  Data Analyst",data analysis,Kolkata,,,,2.0,4.0,3.0,Other
Data Analyst,Logic Planet,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","llm, data analyst, finance, healthcare, Data analysis, Data",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-logicplanet-it-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-200226504752,2026-04-10 13:05,"llm, data analyst, finance, healthcare, Data analysis, Data  Data Analyst",data analysis,Kolkata,,,,3.0,6.0,4.5,Other
Data Analyst -UK Pensions,Gallagher,1-4 Yrs,5-7 Lacs PA,"Hybrid - Pune, Gurugram, Bengaluru","Data Analysis, UK pensions, SQL, Pension Administration, Uk, Analysis, Data",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-uk-pensions-gallagher-pune-gurugram-bengaluru-1-to-4-years-180326018690,2026-04-10 13:05,"Data Analysis, UK pensions, SQL, Pension Administration, Uk, Analysis, Data  Data Analyst -UK Pensions","data analysis, sql",Pune,5.0,7.0,6.0,1.0,4.0,2.5,Other
Data Analyst - I,Pice App,1-2 Yrs,Not disclosed,Bengaluru,"Automation, Postgresql, Analytical, OLAP, Data processing, Data quality, Data Analyst, Operations",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-i-pice-bengaluru-1-to-2-years-091225502771,2026-04-10 13:05,"Automation, Postgresql, Analytical, OLAP, Data processing, Data quality, Data Analyst, Operations  Data Analyst - I","data analysis, data quality, postgresql",Bengaluru,,,,1.0,2.0,1.5,Other
Data Analyst,Discover Dollar Technologies,1-3 Yrs,Not disclosed,Bengaluru,"Version control, Coding, Agile, Data structures, Data quality, Business intelligence, Analytics, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-discover-dollar-technologies-pvt-ltd-bengaluru-1-to-3-years-270126505060,2026-04-10 13:05,"Version control, Coding, Agile, Data structures, Data quality, Business intelligence, Analytics, SQL  Data Analyst","data analysis, data quality, power bi, sql",Bengaluru,,,,1.0,3.0,2.0,Other
Data Analyst,Dayforce,2-7 Yrs,Not disclosed,Bengaluru,"Computer science, Payroll, Manager Quality Assurance, Version control, Data management, Machine learning, Workflow, Scheduling",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-dayforce-bengaluru-2-to-7-years-120126502436,2026-04-10 13:05,"Computer science, Payroll, Manager Quality Assurance, Version control, Data management, Machine learning, Workflow, Scheduling  Data Analyst",machine learning,Bengaluru,,,,2.0,7.0,4.5,Other
Data Analyst,Omnissa,5-10 Yrs,Not disclosed,Bengaluru,"management consulting, python, data analysis, strong analytical skills, business analysis, dashboards, sql, excel",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-omnissa-bengaluru-5-to-10-years-050226501457,2026-04-10 13:05,"management consulting, python, data analysis, strong analytical skills, business analysis, dashboards, sql, excel  Data Analyst","data analysis, excel, python, sql",Bengaluru,,,,5.0,10.0,7.5,Other
Data Analyst,Greenlight Financial Technology,4-9 Yrs,Not disclosed,Bengaluru,"Automation, Data modeling, Analytical, Artificial Intelligence, data visualization, Analytics, Monitoring, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-greenlight-financial-technology-bengaluru-4-to-9-years-280126501545,2026-04-10 13:05,"Automation, Data modeling, Analytical, Artificial Intelligence, data visualization, Analytics, Monitoring, SQL  Data Analyst","data analysis, data modeling, data visualization, sql",Bengaluru,,,,4.0,9.0,6.5,Other
Data Analyst,Skit.ai,1-3 Yrs,Not disclosed,Bengaluru,"Product Analyst, Product quality, Data analysis, Google Analytics, Customer satisfaction, Machine learning, Agile, Data Analyst",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-skit-ai-bengaluru-1-to-3-years-270226501485,2026-04-10 13:05,"Product Analyst, Product quality, Data analysis, Google Analytics, Customer satisfaction, Machine learning, Agile, Data Analyst  Data Analyst","data analysis, machine learning",Bengaluru,,,,1.0,3.0,2.0,Other
Data Analyst,Convegenius Edu,4-6 Yrs,Not disclosed,Bengaluru,"Health insurance, Data modeling, Business analysis, Analytical, E-governance, data governance, data visualization, Troubleshooting",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-convegenius-edu-solutions-pvt-ltd-bengaluru-4-to-6-years-260226504319,2026-04-10 13:05,"Health insurance, Data modeling, Business analysis, Analytical, E-governance, data governance, data visualization, Troubleshooting  Data Analyst","data analysis, data governance, data modeling, data visualization",Bengaluru,,,,4.0,6.0,5.0,Other
People Data Analyst,Curriculum Associates,5-10 Yrs,Not disclosed,Bengaluru,"Data analysis, HRIS, Analytical, power bi, HR, Predictive modeling, Data Analyst, Data mining",2 weeks ago,https://www.naukri.com/job-listings-people-data-analyst-curriculum-associates-bengaluru-5-to-10-years-250326505052,2026-04-10 13:05,"Data analysis, HRIS, Analytical, power bi, HR, Predictive modeling, Data Analyst, Data mining  People Data Analyst","data analysis, power bi",Bengaluru,,,,5.0,10.0,7.5,Other
Data Analyst,Superk,1-2 Yrs,Not disclosed,Bengaluru,"ERP, Data analysis, Demand planning, Demand forecasting, Process improvement, Online sales, Data Analyst, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-superk-bengaluru-1-to-2-years-250226500489,2026-04-10 13:05,"ERP, Data analysis, Demand planning, Demand forecasting, Process improvement, Online sales, Data Analyst, Analytics  Data Analyst",data analysis,Bengaluru,,,,1.0,2.0,1.5,Other
Staff Data Analyst,Okta,8-13 Yrs,Not disclosed,Hybrid - Bengaluru,"Data Analysis, storytelling, data catalog, forecasting, airflow, ai, accounting, machine learning",2 weeks ago,https://www.naukri.com/job-listings-staff-data-analyst-okta-identity-india-private-limited-bengaluru-8-to-13-years-240326919329,2026-04-10 13:05,"Data Analysis, storytelling, data catalog, forecasting, airflow, ai, accounting, machine learning  Staff Data Analyst","airflow, data analysis, machine learning",Bengaluru,,,,8.0,13.0,10.5,Other
Data Analyst,Premium Aerotec,3-8 Yrs,Not disclosed,Bengaluru,"Data analysis, Aviation, Analytical, MySQL, Data collection, Data quality, Oracle, Monitoring",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-aerotec-bengaluru-3-to-8-years-230326502214,2026-04-10 13:05,"Data analysis, Aviation, Analytical, MySQL, Data collection, Data quality, Oracle, Monitoring  Data Analyst","data analysis, data quality, mysql",Bengaluru,,,,3.0,8.0,5.5,Other
Data Analyst,Han Digital Solution,1-2 Yrs,Not disclosed,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum","Microstrategy, Data analysis, SAS, Db2, Coding, MySQL, Agile, Oracle",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-han-digital-solution-p-hubli-mangaluru-mysuru-bengaluru-belgaum-1-to-2-years-221125501282,2026-04-10 13:05,"Microstrategy, Data analysis, SAS, Db2, Coding, MySQL, Agile, Oracle  Data Analyst","data analysis, mysql",Hubli,,,,1.0,2.0,1.5,Other
Data Analyst,Logic Planet,3-12 Yrs,Not disclosed,Bengaluru,"Analytical skills, Data analysis, Mentor, Application development, Application Lead, data visualization, Management, Data",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-logicplanet-it-services-bengaluru-3-to-12-years-210226500048,2026-04-10 13:05,"Analytical skills, Data analysis, Mentor, Application development, Application Lead, data visualization, Management, Data  Data Analyst","data analysis, data visualization",Bengaluru,,,,3.0,12.0,7.5,Other
Data Analyst,Unobank,3-4 Yrs,Not disclosed,Bengaluru,"Visualization, Excel, Data Analysis, Reporting, SQL, Data Visualization, Analysis, Data",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-uno-digital-bank-bengaluru-3-to-4-years-200326504799,2026-04-10 13:05,"Visualization, Excel, Data Analysis, Reporting, SQL, Data Visualization, Analysis, Data  Data Analyst","data analysis, data visualization, excel, reporting, sql",Bengaluru,,,,3.0,4.0,3.5,Other
Data Analyst,Kiya.ai,3-7 Yrs,5-11 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)","Power Bi, Data Analysis, Tableau, SQL, Capital Market, Investment Banking, Risk Assessment, Risk",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-kiya-ai-bengaluru-mumbai-all-areas-3-to-7-years-200326006395,2026-04-10 13:05,"Power Bi, Data Analysis, Tableau, SQL, Capital Market, Investment Banking, Risk Assessment, Risk  Data Analyst","data analysis, power bi, sql, tableau",Bengaluru,5.0,11.0,8.0,3.0,7.0,5.0,Other
